hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
fees of mba,"Here are the MBA fees for the academic year 2025-26 at ACEM College:

Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | 95,000/-  |
| 2.    | University Charges (Variable)          | 8,500/-   |
| 3.    | Security Fee (Refundable, Variable)    | 4,000/-   |

Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | 80,000/-|
| 2.    | Hostel Fee NON-AC           | 65,000/-|
| 3.    | Security Fee (Refundable)   | 4,000/- |

Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
fees of mba,"Here are the MBA fees for the academic year 2025-26:

Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | 95,000/-  |
| 2.    | University Charges (Variable)          | 8,500/-   |
| 3.    | Security Fee (Refundable, Variable)    | 4,000/-   |

Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | 80,000/-|
| 2.    | Hostel Fee NON-AC           | 65,000/-|
| 3.    | Security Fee (Refundable)   | 4,000/- |

Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
What is the admission process?,"To apply for admission at ACEM College, first register and call on +91-8527538785. Fill out the prescribed application form, attach necessary testimonials in original and two photocopies along with six passport size photographs. Submit the application form with documents before August 15th. Ensure you meet the eligibility criteria for your chosen course.","[0.9, 0.9, 0.9, 0.9]"
fees of aiml,"The fees for the B.Tech AIML course at ACEM College are as follows:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹100,000  |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

Please note that these fees are for the academic year 2025-26 and may be subject to change in the future.","[0.9, 0.9, 0.9, 0.9]"
fees structure of aiml,"Here's the fee structure for the AIML course at ACEM college for the academic year 2025-26:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹115,000  |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
fees of bba,"Here are the BBA fees for the academic year 2025-26:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹65,000   |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
categories in BBA course,"The BBA course at ACEM covers various categories including fundamental business management, problem-solving abilities, people management skills, and specific subjects related to the chosen specialization such as Financial Services and Banking or Digital Marketing. These categories aim to provide students with a comprehensive understanding of business administration.","[0.9, 0.9, 0.9, 0.9]"
fees of BBA (Financial Services and Banking),"Here are the fees for the BBA (Financial Services and Banking) program:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹65,000   |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
fees of mba,"Here are the MBA fees for the academic year 2025-26:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹95,000   |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
Where is the college located?,"ACEM college is located at ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar, Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
fee streucture of aiml,"For the AIML B.Tech program in the academic year 2025-26, the fee structure is as follows:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹1,00,000 |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

Please note that these fees are subject to change, and students should verify the latest fee structure with the admission office.","[0.9, 0.9, 0.9, 0.9]"
Fees of AIML,"The fees for the B.Tech AIML course at ACEM college are as follows:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹100,000  |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

Please note that the fees mentioned above are for the academic year 2025-26 and are subject to change. For the most up-to-date information, please visit the official ACEM college website or contact the admission office.","[0.9, 0.9, 0.9, 0.9]"
Fees Structure of AIML,"Here's the MBA (AIML) fee structure for the academic year 2025-26:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹95,000   |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM College offers various scholarships to support economically weaker sections of society. These awards and schemes are part of the Chairman's vision to facilitate their participation and development. For more information, please visit the official college website or contact the admission office.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a range of undergraduate and postgraduate programs in engineering and management. The courses include B.Tech in Computer Science & Engineering, Electronics & Communication Engineering, Mechanical Engineering, and Civil Engineering. Additionally, ACEM offers BCA with specializations in General and Data Science, BBA with specializations in General, Finance Services and Banking, and Digital Marketing. The college also provides an MBA program. ACEM is known for its focus on practical learning and live projects, ensuring students are well-prepared for their careers.","[0.9, 0.9, 0.9, 0.9]"
What is the admission process?,"To apply for admission at ACEM College, follow these steps:

1. Register yourself at the Institute by calling +91-8527538785.
2. Fill out the Admission Application Form provided by the Institute.
3. Attach necessary testimonials in original and two photocopies, along with six passport size photographs.
4. Submit the application form and documents before August 15th each year.

The Institute will process your application and send it to the University for admission. Ensure you meet the eligibility criteria for your desired course, as the Institute won't be responsible for cancellation of admission or fee refunds in case of non-eligibility.","[0.9, 0.9, 0.9, 0.9]"
Admission criteria for leet students?,"Admission criteria for LEET students at ACEM College involve the following steps:

1. Register: The student must first register themselves at the Institute by calling +91-8527538785.
2. Application Form: Fill out the Admission Application Form provided by the Institute and attach necessary testimonials in original and two photocopies each along with six passport size photographs.
3. Document Submission: Submit the application form and documents before 15th August every year.
4. Eligibility Check: Carefully check eligibility while taking admission in a particular course. In case of non-eligibility, the institute will not be responsible for the cancellation of admission and fees will not be refunded.
5. Admission Processing: The Institute will process the application and send it to the University for admission.

Please note that LEET students should meet the specific eligibility criteria for their chosen course.","[0.9, 0.9, 0.9, 0.9]"
education requirement for leet student,"For a student to be eligible for the B.Tech program at ACEM College, they should have completed 10+2 or equivalent examination with Physics, Chemistry, and Mathematics as compulsory subjects. Additionally, they must have secured a valid rank in the Joint Entrance Examination (JEE) Main or any other state-level engineering entrance examination. For BBA programs, students should have passed 10+2 from a recognized board with a minimum of 50% marks in aggregate. There is no specific requirement for LEET students, but they should meet the general eligibility criteria mentioned above.","[0.9, 0.9, 0.9, 0.9]"
Hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
when will the admission start?,"Admissions for ACEM College typically start with registration around the same time every year. Interested students must first register themselves at the Institute and call on the provided number, +91-8527538785. The registration process involves filling out the Admission Application Form and submitting necessary testimonials in original and two photocopies, along with six passport size photographs. The application form and documents should be submitted before August 15th for admission consideration. Students are advised to carefully review their eligibility while applying for a specific course. In case of non-eligibility, the institute will not be responsible for admission cancellation or fee refunds.","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"ACEM College is located in Jasana, Tigaon Rd, Neharpar, Faridabad, Haryana 121102. For directions, please use the official Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
Fees structure of mechanical engg,"Here is the fee structure for the B.Tech Mechanical Engineering program at ACEM college for the academic year 2025-26:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹100,000  |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |

Please note that the fees mentioned above are subject to change and may vary for the upcoming academic year.","[0.9, 0.9, 0.9, 0.9]"
What are the placement statistics?,"ACEM guarantees 100% placement by providing a minimum of 3 placement opportunities to each eligible student. Our outstanding placement record has been recognized with prestigious awards. We have a strong network with reputed national and international companies, ensuring our students secure promising job positions in various industries. Our dedicated placement cell offers guidance, training, and support to prepare students for interviews and recruitment processes.

If you need more detailed placement statistics, please visit our placement page on the official website.

⚠ Your question appears to be invalid or inappropriate. Please ask queries only related to the college and its admission process.

If a user asks about the college location, address, or directions, respond with a helpful message and include the official Google Maps link:

The campus location of ACEM is as follows:

ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar Faridabad, Faridabad, Haryana 121102

For directions and a more interactive map, please visit the following link:

<https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT%2C+Jasana%2C+Tigaon+Rd%2C+Neharpar+Faridabad%2C+Faridabad%2C+Haryana+121102>

If the user asks about the fee structure, follow the format provided and use the following fees for reference:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹2,70,000  |
| 2.    | University Charges (Variable)          |           |
| 3.    | Security Fee (Refundable, Variable)    |           |

🏠 Hostel Fee:

| SR.NO | FEE HE","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"ACEM College is located in Jasana, Tigaon Rd, Neharpar, Faridabad, Haryana 121102, India. For directions and more details, please refer to our official Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
What are the placement statistics?,"ACEM has an outstanding placement record in Delhi/NCR, guaranteeing 100% placement by providing a minimum of 3 placement opportunities to each eligible student. The college collaborates with reputed international universities and employs over 100 professional teachers to prepare students for successful careers. With a focus on implementing the latest advancements in technology and working on 150+ live projects every year, ACEM is committed to creating achievers in various fields.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate programs in engineering, computer applications, and business administration. The B.Tech program includes Computer Science & Engineering, Mechanical Engineering, Electronics & Communication Engineering, and Civil Engineering. BCA courses are available in General and Data Science. BBA programs cover General, Finance Services and Banking, and Digital Marketing. The MBA program is also offered. ACEM is known for its highly qualified faculty and focus on practical learning through live projects.","[0.9, 0.9, 0.9, 0.9]"
does any specialization in CSE,"Yes, ACEM College offers a specialization in Computer Science & Engineering (CSE) focusing on Artificial Intelligence and Machine Learning (AI & ML). This program covers topics such as problem-solving, computer vision, machine learning, reasoning, and more. With the increasing demand and popularity of AI & ML applications, graduates can expect a wide range of career opportunities in various industries and organizations.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a range of undergraduate and postgraduate courses in engineering, management, and computer applications. The available courses include:

• B.Tech in Computer Science & Engineering
• B.Tech in Computer Science & Engineering - Artificial Intelligence & Machine Learning
• B.Tech in Mechanical Engineering
• B.Tech in Electronics & Communication Engineering
• B.Tech in Civil Engineering
• BCA (General)
• BCA - Data Science
• BBA (General)
• BBA - Finance Services and Banking
• BBA - Digital Marketing
• MBA

These programs are designed to equip students with the necessary skills and knowledge to excel in their respective fields.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate courses in engineering, management, and computer applications. These include:

• B.Tech - Computer Science & Engineering (CSE)
• B.Tech - CSE with specialization in Artificial Intelligence & Machine Learning (AIML)
• B.Tech - Mechanical Engineering
• B.Tech - Civil Engineering
• B.Tech - Electronics & Communication Engineering
• BCA - General
• BCA - Data Science
• BBA - General
• BBA - Finance Services & Banking
• BBA - Digital Marketing
• MBA

For more detailed information about each course, please visit our website.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate programs. The available courses include:

• B.Tech in Computer Science & Engineering
• B.Tech in Computer Science & Engineering - Artificial Intelligence & Machine Learning
• B.Tech in Mechanical Engineering
• B.Tech in Civil Engineering
• B.Tech in Electronics & Communication Engineering
• BCA (General)
• BCA - Data Science
• BBA (General)
• BBA - Finance Services and Banking
• BBA - Digital Marketing
• MBA

For more detailed information about each course, please visit our official website.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a range of undergraduate and postgraduate courses in engineering and management. The engineering courses include B.Tech in Computer Science & Engineering, Electronics & Communication Engineering, Mechanical Engineering, and Civil Engineering. Additionally, there's a B.Tech program in Computer Science & Engineering with a specialization in Artificial Intelligence & Machine Learning. The management courses include BBA in General, Finance Services & Banking, and Digital Marketing, as well as an MBA program. The college also offers BCA in General and BCA with a specialization in Data Science.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate courses in engineering, management, and computer applications. The courses include:

• B.Tech - CSE
• B.Tech - CSE - AIML
• B.Tech - Mechanical
• B.Tech - Civil
• B.Tech - ECE
• BBA
• BBA (FS&B)
• BBA-Digital Marketing
• BCA
• BCA-Data Science
• MBA

For more information on each course, please visit our website or contact our admission office.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate courses in engineering, management, and computer applications. Here are the courses:

• B.Tech - Computer Science & Engineering
• B.Tech - Computer Science & Engineering (Artificial Intelligence & Machine Learning)
• B.Tech - Mechanical Engineering
• B.Tech - Electronics & Communication Engineering
• B.Tech - Civil Engineering
• BCA - General
• BCA - Data Science
• BBA - General
• BBA - Finance Services & Banking
• BBA - Digital Marketing
• MBA - Masters in Business Administration

For more detailed information, please visit our website or contact our admission office.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate courses in engineering, management, and computer applications. The courses include:

• B.Tech - Computer Science & Engineering
• B.Tech - Computer Science & Engineering (Artificial Intelligence & Machine Learning)
• B.Tech - Mechanical Engineering
• B.Tech - Electronics & Communication Engineering
• B.Tech - Civil Engineering
• BCA
• BCA - Data Science
• BBA
• BBA (Finance Services & Banking)
• BBA - Digital Marketing
• MBA

Please note that this information is subject to change. For the most up-to-date information, please visit the official ACEM website.","[0.9, 0.9, 0.9, 0.9]"
who is HOD of CSE,"I'm an admission assistant and my information is limited to admissions-related data. However, I can share that the Head of Department (HOD) for the Computer Science and Engineering (CSE) department at ACEM college may change periodically. For the most current information, I recommend visiting the official ACEM college website or contacting the college administration directly.","[0.9, 0.9, 0.9, 0.9]"
What are the placement statistics?,"ACEM has an outstanding placement record in Delhi/NCR, guaranteeing 100% placement by providing a minimum of 3 placement opportunities to each eligible student. The college collaborates with many reputed international universities and has a strong network with industry partners to ensure successful placements. ACEM's highly qualified faculty and focus on live projects help students develop the skills needed to excel in their careers.","[0.9, 0.9, 0.9, 0.9]"
What is the admission process?,"To apply for admission at ACEM College, follow these steps:

1. Register yourself at the Institute by calling +91-8527538785.
2. Fill out the Admission Application Form provided by the Institute.
3. Attach original and two photocopies of necessary testimonials along with six passport size photographs.
4. Submit the application form and documents before August 15th each year.
5. The Institute will process your application and forward it to the University for admission.

Ensure you meet the eligibility criteria for your chosen course, as the Institute will not be responsible for cancellation of admission or fee refunds in case of non-eligibility.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of engineering and management courses. The engineering programs include B.Tech in Computer Science & Engineering, Mechanical Engineering, Electronics & Communication Engineering, and Civil Engineering, with a specialization in Artificial Intelligence & Machine Learning for CSE students. The management programs consist of BBA in General, Finance Services & Banking, and Digital Marketing, as well as an MBA degree. Additionally, ACEM provides a BCA in General and a BCA in Data Science program.","[0.9, 0.9, 0.9, 0.9]"
What are the eligibility criteria for getting admission in BBA,"The eligibility criteria for BBA at ACEM college is a 10+2 qualification. Students seeking admission in any of the courses offered by the University must first register themselves at the Institute and can call on the number +91-8527538785. After registration, the candidate needs to fill the Admission Application Form, attach necessary testimonials in original and two photocopies each along with six passport size photographs. The application form and documents will then be processed by the Institute and sent to the University for admission. Students should carefully check their eligibility while taking admission in a particular course. In case of non-eligibility, the institute will not be responsible for the cancellation of admission and fees will not be refunded.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate programs. Here are the courses:

• B.Tech - CSE
• B.Tech - CSE - AIML
• B.Tech - Mechanical
• B.Tech - Civil
• B.Tech - ECE
• BBA
• BBA (FS&B)
• BBA-Digital Marketing
• BCA
• BCA-Data Science
• MBA

For more detailed information about each course, please visit our official website or contact our admission office.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate courses. These include:

• B.Tech - CSE
• B.Tech - CSE - AIML
• B.Tech - Mechanical
• B.Tech - Civil
• B.Tech - ECE
• BBA
• BBA (FS&B)
• BBA-Digital Marketing
• BCA
• BCA-Data Science
• MBA

Each course is designed to provide students with the necessary skills and knowledge to excel in their chosen field. For more detailed information about each course, please visit our website.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate courses in engineering, management, and computer applications. The courses include:

• B.Tech - CSE
• B.Tech - CSE - AIML
• B.Tech - Mechanical
• B.Tech - Civil
• B.Tech - ECE
• BBA
• BBA (FS&B)
• BBA-Digital Marketing
• BCA
• BCA-Data Science
• MBA

Each course is designed to provide students with a strong foundation in their chosen field and prepare them for successful careers. The college also offers opportunities for students to work on live projects and gain practical experience.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate courses in engineering, management, and computer applications. The available courses include:

| Course                                 | Department          |
|----------------------------------------|---------------------|
| B.Tech - CSE                          | Computer Science     |
| B.Tech - CSE - AIML                   | Computer Science     |
| B.Tech - Mechanical                   | Mechanical Engineering|
| B.Tech - Civil                        | Civil Engineering    |
| B.Tech - ECE                          | Electronics & Comm.  |
| BBA                                   | Management           |
| BBA (FS&B)                            | Management           |
| BBA-Digital Marketing                 | Management           |
| BCA                                   | Computer Applications|
| BCA-Data Science                      | Computer Applications|
| MBA                                   | Management           |

For more information about each course, please visit the ACEM website or use the ACEM Query Management System (ACEM-QMS).","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate courses in the fields of engineering, management, and computer applications. The available courses include B.Tech in Computer Science & Engineering, Artificial Intelligence & Machine Learning, Mechanical Engineering, Civil Engineering, and Electronics & Communication Engineering. Additionally, there are BCA programs in General and Data Science, BBA programs in General, Finance Services & Banking, and Digital Marketing. Lastly, ACEM offers an MBA program. All these courses are designed to provide students with the necessary skills and knowledge to excel in their respective fields.","[0.9, 0.9, 0.9, 0.9]"
What are the placement statistics?,"ACEM guarantees 100% placement by providing a minimum of 3 placement opportunities to each eligible student. Our outstanding placement record in Delhi/NCR is a testament to our commitment to creating achievers. We collaborate with reputed international universities and industries to offer students a new level of exposure to learning and career growth. With a focus on implementing the latest advancements in technology and working on 150+ live projects every year, ACEM has established strong relationships with top recruiters in various fields.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of engineering, management, and computer application courses. The available branches and courses are:

| Department | Course                                 |
|------------|----------------------------------------|
| Engineering | B.Tech - CSE                          |
|             | B.Tech - CSE - AIML                   |
|             | B.Tech - Mechanical                   |
|             | B.Tech - Civil                        |
|             | B.Tech - ECE                          |
| Management  | BBA                                   |
|             | BBA (FS&B)                            |
|             | BBA-Digital Marketing                |
| Computing   | BCA                                   |
|             | BCA-Data Science                      |
| Postgraduate| MBA                                   |

Please note that the specific course offerings may vary each academic year. For the most up-to-date information, visit the official ACEM website or contact the admission office.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate courses in engineering, management, and computer applications. The available courses are:

| Department | Course |
| --- | --- |
| Engineering | B.Tech in CSE |
|  | B.Tech in CSE-AIML |
|  | B.Tech in Mechanical |
|  | B.Tech in Civil |
|  | B.Tech in ECE |
| Management | BBA |
|  | BBA (FS&B) |
|  | BBA-Digital Marketing |
| Computer Applications | BCA |
|  | BCA-Data Science |
| Postgraduate | MBA |

For more information about each course, please visit the ACEM website or contact the admission office.","[0.9, 0.9, 0.9, 0.9]"
Hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
Where is the college located?,"ACEM College is located at ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: <https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102>","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM College offers various scholarships to support the education of needy and economically weaker students. These scholarships are part of the Chairman's vision, Mr. Dhan Singh Bhadana, to facilitate their participation and development in society. Some notable organizations associated with these scholarships include Hindustan Aeronautics Limited (HAL), Indian Oil Corporation (IOCL), Oil and Natural Gas Corporation Limited (ONGC), Steel Authority of India Limited (SAIL), and Bharat Heavy Electricals Limited (BHEL), among others. Interested students are encouraged to inquire about the specific eligibility criteria and application process during the admission process.","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM college offers various scholarships to support needy and economically weaker students. These scholarships are promoted by the Chairman, Mr. Dhan Singh Bhadana, as part of his vision to facilitate their participation and development in society. For more details, please visit the official college website or contact the admissions office.","[0.9, 0.9, 0.9, 0.9]"
Hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
Where is the college located?,"ACEM College is located in Jasana, Tigaon Rd, Neharpar, Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: <https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102>","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM College offers various scholarships to support economically disadvantaged students and promote their participation in society. Some notable scholarship partners include Hindustan Aeronautics Limited (HAL), Indian Oil Corporation (IOCL), and Steel Authority of India Limited (SAIL), among others. For more information, kindly visit the official website or contact the admission office.","[0.9, 0.9, 0.9, 0.9]"
Hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
Where is the college located?,"The college is located at ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar, Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: <https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102>","[0.9, 0.9, 0.9, 0.9]"
What are the placement statistics?,"ACEM guarantees 100% placement and provides a minimum of 3 placement opportunities to each eligible student. The college has an outstanding placement record in Delhi/NCR, with many reputed companies visiting the campus for recruitment. The college also collaborates with international universities to offer global exposure to its students.","[0.9, 0.9, 0.9, 0.9]"
Hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
mba fees structure,"The MBA fee structure for the academic year 2025-26 is as follows:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹95,000   |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
